Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Gangadhara,0.0,10.1,32.1,22.9,99.7,0.0,6.8
2019-01-02,Karimnagar,Gangadhara,0.0,15.0,32.5,24.3,91.7,0.0,9.8
2019-01-03,Karimnagar,Gangadhara,0.0,17.5,32.9,26.8,84.1,0.0,3.7
2019-01-04,Karimnagar,Gangadhara,0.0,13.3,32.9,28.1,93.1,0.0,4.3
2019-01-05,Karimnagar,Gangadhara,0.0,15.0,32.9,28.4,96.2,0.0,6.9
2019-01-06,Karimnagar,Gangadhara,0.0,18.2,32.9,42.6,96.2,0.0,7.1
2019-01-07,Karimnagar,Gangadhara,0.0,20.0,32.9,45.0,96.2,0.0,7.7
2019-01-08,Karimnagar,Gangadhara,0.0,17.8,32.9,43.2,96.2,0.0,4.7
2019-01-09,Karimnagar,Gangadhara,0.0,12.1,30.4,29.2,96.0,0.0,6.0
2019-01-10,Karimnagar,Gangadhara,0.0,11.6,31.1,19.2,87.6,0.0,6.0
2019-01-11,Karimnagar,Gangadhara,0.0,17.5,31.3,26.6,91.2,0.0,7.7
2019-01-12,Karimnagar,Gangadhara,0.0,20.1,32.9,43.7,97.5,0.0,7.8
2019-01-13,Karimnagar,Gangadhara,0.0,21.3,32.8,52.2,96.2,0.0,6.9
2019-01-14,Karimnagar,Gangadhara,0.0,20.0,32.9,49.6,96.2,0.0,2.6
2019-01-15,Karimnagar,Gangadhara,0.0,19.5,32.8,52.6,96.2,0.0,8.4
2019-01-16,Karimnagar,Gangadhara,0.0,17.5,31.0,51.7,96.2,0.0,8.4
2019-01-17,Karimnagar,Gangadhara,0.0,13.1,31.1,35.4,90.5,0.0,8.2
2019-01-18,Karimnagar,Gangadhara,0.0,16.8,31.9,29.0,91.3,0.0,2.5
2019-01-19,Karimnagar,Gangadhara,0.0,14.4,31.5,43.4,96.1,0.0,7.3
2019-01-20,Karimnagar,Gangadhara,0.0,14.8,31.3,36.8,92.9,0.0,7.6
2019-01-21,Karimnagar,Gangadhara,0.0,14.9,32.0,28.6,91.2,0.0,4.6
2019-01-22,Karimnagar,Gangadhara,0.0,18.3,32.3,31.0,91.1,0.0,6.7
2019-01-23,Karimnagar,Gangadhara,0.0,17.4,31.6,37.1,96.3,0.0,8.5
2019-01-24,Karimnagar,Gangadhara,0.0,18.3,30.8,45.6,94.6,0.0,5.4
2019-01-25,Karimnagar,Gangadhara,0.0,21.3,29.2,57.2,92.9,0.1,9.3
2019-01-26,Karimnagar,Gangadhara,36.3,20.8,30.8,54.3,97.4,0.0,11.1
2019-01-27,Karimnagar,Gangadhara,38.8,21.0,23.6,87.3,97.2,0.0,5.7
2019-01-28,Karimnagar,Gangadhara,0.0,17.7,23.8,85.3,96.4,0.0,6.3
2019-01-29,Karimnagar,Gangadhara,0.0,14.4,26.4,67.0,97.1,0.0,7.9
2019-01-30,Karimnagar,Gangadhara,0.0,8.2,26.3,32.1,95.2,0.0,6.9
2019-01-31,Karimnagar,Gangadhara,0.0,14.3,28.9,29.1,88.7,0.0,4.9
2019-02-01,Karimnagar,Gangadhara,0.0,17.2,30.7,54.8,96.9,0.0,7.9
2019-02-02,Karimnagar,Gangadhara,0.0,18.6,30.3,43.4,95.6,0.0,11.4
2019-02-03,Karimnagar,Gangadhara,0.0,17.7,29.8,46.2,95.8,0.0,10.1
2019-02-04,Karimnagar,Gangadhara,0.0,18.2,31.4,45.1,96.0,0.0,10.0
2019-02-05,Karimnagar,Gangadhara,0.0,17.4,32.5,42.7,95.0,0.0,7.7
2019-02-06,Karimnagar,Gangadhara,0.0,17.3,32.0,44.3,95.8,0.0,6.0
2019-02-07,Karimnagar,Gangadhara,0.0,21.4,31.9,47.5,80.6,0.0,9.0
2019-02-08,Karimnagar,Gangadhara,0.0,20.9,34.1,38.5,93.5,0.0,15.0
2019-02-09,Karimnagar,Gangadhara,0.0,15.4,30.6,47.3,95.9,0.0,6.1
2019-02-10,Karimnagar,Gangadhara,0.0,12.6,28.8,29.0,87.3,0.0,9.4
2019-02-11,Karimnagar,Gangadhara,0.0,16.8,30.3,30.7,73.9,0.0,5.9
2019-02-12,Karimnagar,Gangadhara,0.0,21.5,32.1,51.1,95.9,0.0,6.5
2019-02-13,Karimnagar,Gangadhara,0.0,20.1,31.5,58.8,97.0,0.0,8.6
2019-02-14,Karimnagar,Gangadhara,0.0,18.7,33.2,40.1,97.2,0.0,10.0
2019-02-15,Karimnagar,Gangadhara,0.0,19.0,32.5,47.1,93.0,0.0,6.6
2019-02-16,Karimnagar,Gangadhara,6.3,20.0,34.1,38.9,96.1,0.0,11.4
2019-02-17,Karimnagar,Gangadhara,0.0,23.1,32.2,62.4,96.5,0.0,5.4
2019-02-18,Karimnagar,Gangadhara,0.0,20.0,31.7,63.6,97.3,0.0,4.8
2019-02-19,Karimnagar,Gangadhara,0.0,18.6,34.4,31.7,92.9,0.0,6.5
2019-02-20,Karimnagar,Gangadhara,0.0,23.7,33.4,60.5,94.7,0.0,9.0
2019-02-21,Karimnagar,Gangadhara,0.0,21.8,33.0,59.3,87.0,0.0,11.8
2019-02-22,Karimnagar,Gangadhara,0.0,19.7,34.9,37.2,90.6,0.0,7.7
2019-02-23,Karimnagar,Gangadhara,0.0,20.8,36.2,33.6,85.3,0.0,7.5
2019-02-24,Karimnagar,Gangadhara,0.0,19.0,35.5,30.1,80.3,0.0,8.9
2019-02-25,Karimnagar,Gangadhara,0.0,19.4,36.1,27.0,75.1,0.0,9.0
2019-02-26,Karimnagar,Gangadhara,0.0,17.8,34.0,25.7,86.0,0.0,7.6
2019-02-27,Karimnagar,Gangadhara,0.0,18.7,31.7,31.0,94.1,0.0,8.2
2019-02-28,Karimnagar,Gangadhara,0.0,17.8,31.7,32.4,79.4,0.0,8.5
2019-03-01,Karimnagar,Gangadhara,0.0,17.5,31.7,28.1,84.8,0.0,8.2
2019-03-02,Karimnagar,Gangadhara,0.0,20.7,30.6,51.3,94.2,0.0,11.7
2019-03-03,Karimnagar,Gangadhara,0.0,22.2,30.4,56.1,90.1,1.7,10.2
2019-03-04,Karimnagar,Gangadhara,0.0,21.4,33.2,46.5,77.6,2.1,14.4
2019-03-05,Karimnagar,Gangadhara,0.0,20.1,33.5,37.7,90.7,0.0,9.0
2019-03-06,Karimnagar,Gangadhara,0.0,17.2,33.9,30.9,71.8,0.0,8.5
2019-03-07,Karimnagar,Gangadhara,0.0,16.6,33.5,21.9,79.5,0.0,9.3
2019-03-08,Karimnagar,Gangadhara,0.0,16.7,32.9,24.3,74.7,0.0,5.9
2019-03-09,Karimnagar,Gangadhara,0.0,19.0,34.2,35.7,81.6,0.0,11.3
2019-03-10,Karimnagar,Gangadhara,0.0,20.7,34.5,47.3,88.9,0.0,9.3
2019-03-11,Karimnagar,Gangadhara,0.0,21.6,34.2,46.4,87.8,0.0,10.0
2019-03-12,Karimnagar,Gangadhara,0.0,22.8,35.5,42.1,84.7,0.0,12.7
2019-03-13,Karimnagar,Gangadhara,0.0,21.6,32.9,44.6,78.5,0.0,10.5
2019-03-14,Karimnagar,Gangadhara,0.0,20.0,34.4,34.5,72.6,0.0,12.2
2019-03-15,Karimnagar,Gangadhara,0.0,19.7,36.8,28.8,70.0,0.0,6.4
2019-03-16,Karimnagar,Gangadhara,0.0,18.5,37.3,18.9,65.5,0.0,9.8
2019-03-17,Karimnagar,Gangadhara,0.0,20.9,34.7,27.7,87.5,0.0,7.7
2019-03-18,Karimnagar,Gangadhara,0.0,18.7,35.5,33.0,73.1,0.0,7.7
2019-03-19,Karimnagar,Gangadhara,0.0,19.6,31.8,44.2,88.5,0.0,9.4
2019-03-20,Karimnagar,Gangadhara,0.0,22.3,34.6,42.2,89.6,0.0,10.4
2019-03-21,Karimnagar,Gangadhara,10.5,22.0,32.0,54.2,90.4,0.0,12.7
2019-03-22,Karimnagar,Gangadhara,0.0,20.1,34.3,48.8,91.5,0.0,9.4
2019-03-23,Karimnagar,Gangadhara,0.0,22.0,33.6,49.6,84.6,0.0,8.1
2019-03-24,Karimnagar,Gangadhara,0.0,22.5,35.7,39.5,80.4,0.0,8.9
